Населени места,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
BG-01,15943,14471,14782,18923,24382,22738,22764,22959,23918,23938,24264,22556,20220,16268,14071,11548,6231,3576
BG-02,22353,19569,19166,21465,26150,29256,32415,33292,29264,28003,29511,29328,28839,20633,17842,14615,9609,4507
BG-03,25272,21417,20574,23561,34011,36552,39509,39394,33442,30584,30661,31974,31972,24407,19282,16595,10372,5495
BG-04,9997,10025,10118,14036,23350,15245,16379,16957,16096,16445,17942,19377,20415,16509,12797,11594,7119,4093
BG-05,3788,4079,4138,4773,4400,4781,5759,6771,6684,6241,6463,7689,9741,7573,6159,5699,3985,2295
BG-06,7878,8190,8961,10120,9424,10118,11523,13077,13661,12764,13255,13606,15370,11759,9537,8748,5634,3223
BG-07,4450,4509,4655,5385,6369,6388,7639,8460,8246,8256,8329,9429,11311,8874,7321,6541,4059,2481
BG-08,8867,8607,8649,10165,11217,11504,12403,13984,14082,13513,13535,14342,14896,11921,8422,7075,4305,2190
BG-09,7381,6954,6891,8945,9509,10736,11529,10725,10862,11360,11866,10981,9264,8089,7283,5701,3055,1677
BG-10,5139,5229,5287,6207,6073,7592,8707,9360,9821,9613,10222,10654,11562,9222,7909,7051,4384,2654
BG-11,5980,6216,6299,6901,6676,7073,8312,9488,9884,9438,9873,10151,12167,9424,8466,7572,4623,2879
BG-12,6071,6190,6699,7778,7316,7649,8512,9795,9735,9701,10222,10859,12830,9822,8675,8112,5075,3057
BG-13,13339,13068,13290,15337,16967,18078,18497,18990,19801,20216,21167,18977,19365,14881,12918,10906,6307,3444
BG-14,5403,4760,5020,5748,6260,8223,9318,9389,9414,9582,10476,9939,10721,8311,7456,6960,4301,2249
BG-15,11544,11478,11722,13684,13949,14429,16174,17966,18071,17660,19432,20019,23111,18195,14982,13630,8680,5026
BG-16,32435,29488,28784,34191,45089,47336,51161,50107,47867,46071,48931,46128,48068,37440,32792,28962,18126,10051
BG-17,5502,5717,6088,7618,7089,7500,8201,9041,9471,9232,9076,9307,9344,7869,5715,4507,2532,1381
BG-18,9733,9157,9261,11542,14809,14524,15598,17067,16483,16283,16533,17593,18878,15379,11709,10648,6660,3395
BG-19,5241,5182,5270,6438,6677,6760,7105,8155,8712,8811,8544,9023,9792,8950,6178,4636,2664,1336
BG-20,11684,11470,10854,11611,11983,12525,13299,13419,12655,13388,13575,13934,13784,10019,8964,7545,4478,2286
BG-21,4871,4540,4893,5992,7066,7820,8265,8116,8911,9792,10932,10130,9110,6691,5898,4420,2727,1578
BG-23,11066,10720,11471,12407,13035,14968,16516,17713,17779,17353,17693,17485,19184,14499,13039,11430,7151,3980
BG-22,62502,50147,46591,61170,118844,106900,115511,109012,89729,77492,81043,85868,85154,60561,47295,42054,31374,20344
BG-24,15584,14833,14869,16566,18905,20878,23391,24168,22873,22442,23729,24633,25489,18972,16906,14863,9283,4881
BG-25,5527,5743,5852,7146,6842,7255,7975,8592,8620,8673,8507,8717,8981,7273,5838,4912,2765,1600
BG-26,11066,10558,10787,12754,13412,15203,16917,17468,16485,17085,18652,18452,17925,13767,12351,11860,7725,3771
BG-27,8443,8397,8443,10459,11921,11608,12382,13404,12860,12469,12829,12308,13153,10458,8120,6967,4118,2189
BG-28,6104,5929,6052,6663,7082,7449,8184,8463,8388,9267,9589,10368,10334,7665,7402,6700,3967,1841

